id,models,video_url,prompt,image_url,subject_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,overall_consistency
1,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_006.mp4,macro shot of ladybug on green leaf plant,,93.27324393391609,0.9967956290525548,0.9966510284484656,0,0.5712554454803467,36.24670402208964,0.28897935152053833
2,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_009.mp4,bird nests on a tree captured with moving camera,,94.54462933540344,0.9923633505316342,0.9952724673336361,0,0.6324082612991333,77.74759022394817,0.2593217194080353
3,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_011.mp4,close up video of snail,,94.22930976748466,0.9973293393265967,0.9967399364366673,0,0.6370621919631958,60.462317864100136,0.20985957980155945
4,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_016.mp4,ants eating dead spider,,89.50351253151894,0.9879590015785367,0.9943348849976597,0,0.4228314757347107,61.973819732666016,0.24613544344902039
5,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_018.mp4,a frog eating an ant,,94.10545507073402,0.9928546148187974,0.9957712606954259,0,0.6933874487876892,56.432155529658,0.2262631356716156
6,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_029.mp4,underwater footage of an octopus in a coral reef,,93.17536473274231,0.990848201863906,0.9952093024811715,0,0.6300033330917358,69.4776382446289,0.2130311131477356
7,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_030.mp4,a cute pomeranian dog playing with a soccer ball,,94.34457063674927,0.9966384153740079,0.9966388429708669,0,0.6741111278533936,55.22446274757385,0.3148770332336426
8,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_035.mp4,hummingbird hawk moth flying near pink flowers,,91.64213967323303,0.9936236400230258,0.9956594756412507,0,0.7090029716491699,67.02500526110332,0.355575829744339
9,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_036.mp4,close up of a scorpion on a rock,,93.04373839497566,0.987942689072852,0.9951956275382484,0,0.5070719718933105,61.883002042770386,0.24942463636398315
10,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_038.mp4,koala eating leaves from a branch,,94.03425461053848,0.9902469616310269,0.995321671592998,0,0.6167553663253784,70.02390591303508,0.27109044790267944
11,gen2,https://video-generation-result2.s3.ap-northeast-2.amazonaws.com/gen2/gen2_049.mp4,flock of goose eating on the lake water,,92.79736310243607,0.9917892689798392,0.9956397878983683,0,0.5765958428382874,54.36876197655996,0.26286500692367554
